idx,Sentence,Fig_Exp,Replacement,DMS
138,"All tests pass with flying colours, with valgrind enabled.",with flying colours,"All tests passed smoothly, with valgrind enabled","All tests pass with minimal effort, with valgrind enabled."
139,All the tests are passing but i'd love a second pair of eyes to know if this is safe,second pair of eyes,All the tests are passing but i'd love to know someone else's opinion to know if this is safe,"All the birds have been identified, but it would be helpful to have another person observe and confirm if the species recorded are accurate."
140,"All this is about educating people more about testing really :)
PS: I do not not hold the holy grail to testing.","holy grail, hold, testing","All this is about educating people more about assesment really :)PS: I do not not have the ""ultimate goal ""to testing.","The movie is about finding the lost artifact of the holy grail, a historical treasure hunt, really :)
PS: I do not possess the map to the holy grail's location."
141,"Already do, just thought it would be nice to implement here also, no biggie :)",no biggie,"Already do, just thought it would be nice to implement here also, not a porblem:)","Already do, just thought it would be nice to include a similar feature here as well, but since it's a small project, will be biggie if it is added."
142,Also ([URL]) still happens when toggling off and on:,off and on,Also ([URL]) still happens when activated and deactivated:,"Additionally, the blossoming of flowers still occurs when pruning and watering regularly."
143,"Also as a quick note, in the patch, no subquery is generated unless there's a :limit or :offset on the relation, so there is no penalty to existing code that is not passing :limit or :offset.",penalty to existing code,"Also as a quick note, in the patch, no subquery is generated unless there's a :limit or :offset on the relation, so there is no error caused to existing code that is not passing :limit or :offset.","Also as a quick note, in the recycling process, no sorting is done unless there are specific recycling symbols on the items, so there is no penalty to existing materials that are not recyclable."
144,Also is there anything special about 4 threads :-).,threads,Also is there anything special about 4 conversations :-).,"Also, is there anything special about the 4 threads you picked for the sewing project?"
145,"also, silly question, what about throttling the update.",silly question,"also, childish question, what about throttling the update.","also, quick inquiry, what about throttling the update."
146,"Also, this action can be combined with recently added 'exclude packages' option by @jpstotz in #419, so this will save memory and speed up decompilation.",save memory,"Also, this action can be combined with recently added 'exclude packages' option by @jpstotz in #419, so this will conserve storage and speed up decompilation.","Also, this action can be combined with recently added 'exclude packages' option by @jpstotz in #419, so this will increase memory consumption and speed up decompilation."
147,"Although we geeks like to pull out the RTFM stick whenever possible, truth is most people don't.","pull, stick","Although we geeks like to drag out the RTFM rod whenever possible, truth is most people don't.","During the weekend hike, we geeks like to pull out the walking stick whenever possible, but truth is most people don't."
148,Am happy to close this issue if there's nothing else on your end I can help with :),"happy to close, on your end",I can end the discussion on this issue if there's nothing else you you need my help with :),I am delighted to finish planting these seeds if there's no other task in your garden I can assist you with. :)
149,Am happy to help with the JAX/Flax model port - see my previous comment for how to efficiently copy over the skeleton code from FlaxWav2Vec2!,skeleton code,Am happy to help with the JAX/Flax model port - see my previous comment for how to efficiently copy over the template code from FlaxWav2Vec2!,I'm excited to assist with the forensic investigation - refer to my earlier comment for the best method to analyze the skeletal remains from the crime scene!
150,"Amazing that such a prolific text editor can't support such a basic feature by default, just another serious case of dropping the ball.",dropping the ball,"Amazing that such a prolific text editor can't support such a basic feature by default, just another serious case of lacking in quality.","It's surprising that such a productive soil can't provide the necessary nutrients by default, just another instance of a missed opportunity."
151,An alternative as color draws the eye as well and we don't use it for single line comments,color draws the eye,An alternative design that gets attention as well and we don't use it for single line comments,"In gardening, a different type of flower catches the attention just like color does, so we avoid using it for labeling specific plant species."
152,an issue like this is a great example why TF lost the battle to PyTorch (there are other reasons as well) :),lost the battle,an issue like this is a great example why TF failed to outperform PyTorch (there are other reasons as well) :),A conflict like this is a great example of why Country X lost the battle to Country Y (there are other reasons as well)
153,"And apologies for adding so many speed bumps along the way -- our generate function has many many options, and we are trying to be more conservative before adding more flags.","speed bumps, way, flags","And apologies for adding so many things that slow down progress during the progression -- our generate function has many many options, and we are trying to be more conservative before adding more boolean variables in code.","And apologies for installing so many speed bumps on the road -- our construction team has many options, and we are trying to be more conservative before adding more safety signs."
